,1INCH,AAVE,ACH
0,,,
1,,9.362073987765807,
2,,21.83997443000212,
3,,4.865380075026904,
4,,-3.4655570657838863,
5,,-0.4880492713813078,
6,,-3.805489488029723,
7,,6.610839394322232,
8,,7.442612405200433,
9,,-9.972663604780319,
10,,11.620784402947205,
11,,15.422004107935194,
12,,0.3300957685254513,
13,,12.720355276341078,
14,,8.705992576844078,
15,,3.245268008088309,
16,,7.242235493054205,
17,,-7.043560700563834,
18,,5.712475978829157,
19,,-18.576593411057395,
20,,18.364597884653765,
21,,12.707586933614333,
22,,23.52479209420386,
23,,-6.118232081833764,
24,,11.985036843547947,
25,,3.1953723434890335,
26,,4.032649074768457,
27,,-3.4035661836202213,
28,,9.510057446328446,
29,,-4.8156377479056545,
30,,-1.8744588744588842,
31,,3.005385667405336,
32,,27.042404794301667,
33,,21.216883467147984,
34,,8.400545973445839,
35,,-6.454070354932428,
36,,-0.10443346427954081,
37,,3.423718719046409,
38,,-0.06228277605564436,
39,,6.91340568086849,
40,,-0.9483383056432038,
41,,2.0539526770846805,
42,,-6.458895018849942,
43,,-5.26405148438005,
44,,-2.9257021429120122,
45,,-4.8090638358663345,
46,,4.455870740728773,
47,,-2.334150433342985,
48,,-4.937841318266479,
49,,5.294558786767767,
50,,-0.9310970122593631,
51,,-8.769251134299205,
52,,-8.790617737339678,
53,,1.0507578292566544,
54,,-8.08957046888784,
55,,-4.398427740748511,
56,,2.8879271732046075,
57,,6.59128847470245,
58,,8.612229952398387,
59,,1.438514960866799,
60,,1.2422249094344195,
61,,-5.429885963051618,
62,,-1.8600354063587288,
63,,5.8137415214002175,
64,,6.706932948669486,
65,,5.38849865661033,
66,,1.723077485898239,
67,,-8.665454390156723,
68,,0.11295931249861724,
69,,-7.933382497541796,
70,,10.529280933016839,
71,,-8.116687038906944,
72,,-3.3702104836971114,
73,,0.8260257983419672,
74,,3.226302623732047,
75,,-5.092867319330264,
76,,1.545779817271864,
77,,0.44810329160620554,
78,,-0.6929198497503619,
79,,-8.606366807976041,
80,,-1.7470938795183688,
81,,-6.636606718368165,
82,,5.572259359806431,
83,,10.21035782643558,
84,,-2.050305664195884,
85,,-1.1224571109821002,
86,,3.8171937782792487,
87,,4.647758462946028,
88,,1.5503875968992276,
89,,-0.26193172034874035,
90,,9.883285988564005,
91,,-9.696585937165258,
92,,6.47498892848859,
93,,-1.3725660101754134,
94,,-3.781399750483838,
95,,-8.976877542022454,
96,,6.447443092250449,
97,,-3.3786312612246183,
98,-6.2918777578035545,2.53145508506456,
99,-0.959190791768394,1.1303811333164937,
100,-3.151963373833422,6.726365805938372,
101,2.0000000000000018,0.5137038044299436,
102,4.7593582887700325,7.195933419515188,
103,3.6923600476433727,9.20891186527031,
104,-4.414177879881853,-5.393103094063112,
105,11.261802575107293,-3.7728380093240865,
106,-18.021910199043354,-10.180488103017849,
107,-8.808582721626202,-9.55681062775129,
108,3.7151702786377916,4.496235292755912,
109,-0.1791044776119466,-3.0416818972296977,
110,-8.353269537480056,2.846926302080366,
111,-6.765281705460103,-4.363510136073323,
112,-7.722818478768067,-7.763939986120261,
113,1.1378002528444897,9.879458144052089,
114,13.5,16.35728631554216,
115,12.77533039647578,8.55553613067963,
116,8.984375,4.57482835037164,
117,-1.845878136200707,-4.82519879055523,
118,3.1769216724484073,1.4143375448959938,
119,-2.2296938594938864,13.459835774542817,
120,-2.877828054298659,-4.315757366892859,
121,9.560193812896012,7.310434192223636,
122,-10.716108181663541,-13.444285628861486,
123,14.174128405410569,7.306734889898658,
124,10.345402970131822,-5.881705468214571,
125,-0.37804324814759704,-1.664868299980804,
126,13.949605343047967,4.8428790693917145,
127,-5.634740908485414,-1.6090714129778694,
128,-12.845849802371534,-5.589417630321869,
129,6.025267249757049,5.663194420443629,
130,-14.466849984723495,11.397058823529417,
131,-0.35720664404358393,-0.2924491737430035,
132,2.9754436278903063,16.83452305227697,
133,-8.494342906875552,-13.066426040096601,
134,-2.358759748906214,2.1352925372038145,
135,-8.29924021040328,8.283875851627553,
136,11.897174421075007,9.844592185566569,
137,-38.9975318017847,-34.243436754176614,
138,12.138188608776845,13.199525745257468,
139,-13.405495420482938,-19.786204847476984,
140,-12.948717948717947,-10.820886573488064,
141,-14.027982326951404,-12.276712345140417,
142,26.38115631691649,32.03291855858681,
143,-2.033209081667231,-4.352279206321774,
144,18.644067796610166,11.851066641851627,
145,-4.198250728862973,-10.181344651297398,
146,-15.763846622032872,-14.127423078988343,
147,-7.189306358381497,-6.7052066495540075,
148,12.261580381471383,8.70456944653899,
149,10.99167822468794,17.76711091380494,
150,-2.5304592314901564,-2.26125654450261,
151,8.108974358974352,2.746664095435536,
152,3.6169581974503373,3.8264727579851776,
153,-3.0615164520743976,-6.290798802900355,
154,8.825265643447455,-4.552298788982956,
